"Name","Slug","Summary","Body","Path","CategorySlug","CategoryPathSlug","VideoUrl","SourceFile"
"Structure of the SOAP Note - Evaluation Workflow","structure-of-the-soap-note-evaluation-workflow","Guide for Structure of the SOAP Note - Evaluation Workflow","<p><video controls src=""/videos/structure-of-the-soap-note-evaluation-workflow.mp4"" style=""width: 100%""></video></p>
<h3>Step 1: Start your physical therapy initial evaluation.</h3>
<h3>Step 2:</h3>
<h3>Step 3:</h3>
<h3>Step 4: Fill in your details for subjective section.</h3>
<h3>Step 5:</h3>
<h3>Step 6:</h3>
<h3>Step 7:</h3>
<h3>Step 8:</h3>
<h3>Step 9:</h3>
<h3>Step 10:</h3>
<h3>Step 11:</h3>
<h3>Step 12:</h3>
<h3>Step 13: Objective section next.</h3>
<h3>Step 14:</h3>
<h3>Step 15:</h3>
<h3>Step 16:</h3>
<h3>Step 17:</h3>
<h3>Step 18:</h3>
<h3>Step 19:</h3>
<h3>Step 20:</h3>
<h3>Step 21:</h3>
<h3>Step 22:</h3>
<h3>Step 23: Assessment tab next.</h3>
<h3>Step 24:</h3>
<h3>Step 25:</h3>
<h3>Step 26:</h3>
<h3>Step 27: Clinical presentation Enter any specific details as necessary.</h3>
<h3>Step 28:</h3>
<h3>Step 29:</h3>
<h3>Step 30:</h3>
<h3>Step 31:</h3>
<h3>Step 32:</h3>
<h3>Step 33:</h3>
<h3>Step 34:</h3>
<h3>Step 35:</h3>
<h3>Step 36: Goals.</h3>
<h3>Step 37:</h3>
<h3>Step 38:</h3>
<h3>Step 39:</h3>
<h3>Step 40:</h3>
<h3>Step 41:</h3>
<h3>Step 42:</h3>
<h3>Step 43: Plan section next.</h3>
<h3>Step 44:</h3>
<h3>Step 45:</h3>
<h3>Step 46:</h3>
<h3>Step 47:</h3>
<h3>Step 48:</h3>
<h3>Step 49:</h3>
<h3>Step 50:</h3>
<h3>Step 51:</h3>
<h3>Step 52:</h3>
<h3>Step 53:</h3>
<h3>Step 54:</h3>
<h3>Step 55:</h3>
<h3>Step 56:</h3>
<h3>Step 57: Enter CPT codes to bill for that visit.</h3>
<h3>Step 58:</h3>
<h3>Step 59:</h3>
<h3>Step 60:</h3>
<h3>Step 61: Enter time, tab for units.</h3>
<h3>Step 62: Enter details as necessary.</h3>
<h3>Step 63:</h3>
<h3>Step 64:</h3>
<h3>Step 65:</h3>
<h3>Step 66:</h3>
<h3>Step 67:</h3>
<h3>Step 68:</h3>
<h3>Step 69:</h3>
<h3>Step 70:</h3>
<h3>Step 71:</h3>
<h3>Step 72:</h3>
<h3>Step 73:</h3>
<h3>Step 74:</h3>
<h3>Step 75:</h3>
<h3>Step 76:</h3>
<h3>Step 77:</h3>
<h3>Step 78:</h3>
<h3>Step 79:</h3>
<h3>Step 80:</h3>
<h3>Step 81:</h3>
<h3>Step 82:</h3>
<h3>Step 83:</h3>
<h3>Step 84:</h3>
<h3>Step 85:</h3>
<h3>Step 86:</h3>
<h3>Step 87: Toggle on or off your billing rules based on AMA or CMS. Assign H E P.</h3>
<h3>Step 88:</h3>
<h3>Step 89:</h3>
<h3>Step 90:</h3>
<h3>Step 91:</h3>
<h3>Step 92: Pull down the exercises if completed within the clinic to HEP, email to patient.</h3>
<h3>Step 93:</h3>
<h3>Step 94:</h3>
<h3>Step 95:</h3>
<h3>Step 96: Summary. Details entered into subjective section, objective, Assessment, and Plan will be visible here. Edit as necessary. Complete SOAP</h3>
<h3>Step 97:</h3>
","clinicians-module/documentation-features","clinicians-module","clinicians-module-documentation-features","","clinicians-module/documentation-features/structure-of-the-soap-note-evaluation-workflow.md"
"Using Flow Sheets","using-flow-sheets","Guide for Using Flow Sheets","<p><video controls src=""/videos/using-flow-sheets.mp4"" style=""width: 100%""></video></p>
<h3>Step 1: Scroll down to where you can add in your CPT codes along with your interventions of exercise.</h3>
<h3>Step 2: Sync to flow sheet and  go to flow sheet to visualize the data that has been synced.</h3>
<h3>Step 3: Add exercises in the flow sheet with reps, sets, time, and resistance.</h3>
<h3>Step 5: Indicate if the exercises were performed and sync it to your soap Note.</h3>
","clinicians-module/documentation-features","clinicians-module","clinicians-module-documentation-features","","clinicians-module/documentation-features/using-flow-sheets.md"
"Clinician's Overview","clinicians-overview","Guide for Clinician's Overview","<p><video controls src=""/videos/clinicians-overview.mp4"" style=""width: 100%""></video></p>
<p>This guide provides an overview of the appointment dashboard, patient waitlist, completed appointments, patient dashboard, analytics, and patient details form. Start with the appointment dashboard:</p>
<h3>Step 1: View the therapist&#39;s name, appointment tile, and timing blocks on the appointment dashboard.</h3>
<h3>Step 2: Navigate to the title &#39;Verify Eligibility&#39;. Add the required information to check eligibility and verify benefits.</h3>
<h3>Step 3: Next, view the patient waitlist using the therapist filter.</h3>
<h3>Step 4:</h3>
<h3>Step 5: Delete or edit patient information. Check their availability.</h3>
<p>Moving on to completed appointments:</p>
<h3>Step 6: View the patient tile and timeline in the completed appointments section.</h3>
<h3>Step 7: Send reminders or cancel appointments. Check the next appointment due and patient status. View upcoming appointments as well.</h3>
<h3>Step 8: In Upcoming Appointments, view appointment due, status, and other information.</h3>
<p>Next, explore the patient dashboard:</p>
<h3>Step 1: View the list of patients and search using search bar. You can switch between list view and grid view.</h3>
<h3>Step 2: Search for patients based on joints, tags, or patient status.</h3>
<h3>Step 3: Apply filters as needed.</h3>
<p>Now, delve into the analytics:</p>
<h3>Step 1: Navigate to analytics to view data by primary pair, location, cancellation reasons, new vs. old patients, total visits, patient intake, arrival rate, and doctor time utilization.</h3>
<h3>Step 2: Apply filters, download export visit count by appointment type, or switch to table view for visualization. Click on Reports to view patient reports.</h3>
<h3>Step 3: Visualize the data.</h3>
<p>Once you click on &#39;View&#39; for a patient, you are directed to Patient&#39;s timeline. Check out Personal details form, given on the left side.</p>
<h3>Step 1: Patient fills the personal details, therapist can add any additional information if required.</h3>
<h3>Step 2: Next, Check medical details form filled by the patient. You can make changes if required and save it.</h3>
<h3>Step 3: View the exercises given to the patient in the HEP. End date, view, send, or print the HEP.</h3>
<h3>Step 4: View the Saved Card, it has credit card details. View Insurance Details and edit or add new insurance details.</h3>
<h3>Step 5: View, edit, or delete outcome measures. Create or send tests.</h3>
<h3>Step 6: View the POC and its status. Download the certified or uncertified POC.</h3>
<h3>Step 7: View billing and overall payment collected. Check the patient ledger and invoice history.</h3>
<h3>Step 8: View created communication notes.</h3>
<h3>Step 9: View or add exercises to the patient&#39;s flow sheet, if not added in the SOAP note.</h3>
<h3>Step 10: Add reps, sets, resistance and status here and it will automatically be updated in the SOAP note.</h3>
<h3>Step 11: Add modalities and view them.</h3>
<h3>Step 12: Add minutes and comments.</h3>
<h3>Step 13: View outcome measures.</h3>
<h3>Step 14: Upload or view patient documents. Add filters for documents for more streamlined experience.</h3>
<h3>Step 15: Filter by case title, document type, sign status, or document category. Save your changes.</h3>
<h3>Step 16: Delete documents if needed. View all communications, such as emails or SMS.</h3>
<h3>Step 17: View eligibility report, follow-up, booking mail. Check bounce and miss status.</h3>
<h3>Step 18: Navigate to soap notes to view patient&#39;s status or bill. Check if soap is complete. View the appointment or soap. Delete if needed. Use filters.</h3>
<h3>Step 19: You can even check status and errors, using one of the filters given on the right side.</h3>
","clinicians-module/overview","clinicians-module","clinicians-module-overview","","clinicians-module/overview/clinicians-overview.md"
"Adding a Communication Note","adding-a-communication-note","Guide for Adding a Communication Note","<p><video controls src=""/videos/adding-a-communication-note.mp4"" style=""width: 100%""></video></p>
<p>In this article, you&#39;ll learn how to add a Communication Note to a patient&#39;s profile. </p>
<h3>Step 1: Navigate to the patient&#39;s profile.</h3>
<h3>Step 2: Click on View Profile to access the Patient Timeline.</h3>
<h3>Step 3: Locate and click on the Communication Note option.</h3>
<h3>Step 4: A new window for your Communication Note will open.</h3>
<h3>Step 5: Choose a subject for your note. In this example, we&#39;re selecting Reschedule.</h3>
<h3>Step 6: Save your note by clicking on Save.</h3>
<h3>Step 7: Your Communication Note is now saved. You&#39;ll find it on the left side of the scroll view.</h3>
<h3>Step 8: Click on your saved Communication Note to view it. From here, you&#39;re also able to download the note.</h3>
<h3>Step 9: To see the most recent Communication Note, navigate to the Timeline.</h3>
<h3>Step 10: Here, you&#39;ll find the latest Communication Note.</h3>
<p>And that&#39;s it! You&#39;ve successfully added a Communication Note to a patient&#39;s profile. Thank you for following along.</p>
","clinicians-module/patient-management","clinicians-module","clinicians-module-patient-management","","clinicians-module/patient-management/adding-a-communication-note.md"
"Adding Insurance Card Details in Patient Profile","adding-insurance-card-details-in-patient-profile","Guide for Adding Insurance Card Details in Patient Profile","<p><video controls src=""/videos/adding-insurance-card-details-in-patient-profile.mp4"" style=""width: 100%""></video></p>
<p>In this article, you&#39;ll learn how to add your insurance card details.</p>
<h3>Step 1: Navigate to the patient section.</h3>
<h3>Step 2: Find the operation name.</h3>
<h3>Step 3: Click on View Profile.</h3>
<h3>Step 4: Scroll down and select Insurance Car.</h3>
<h3>Step 5: Click on Add new insurance card.</h3>
<h3>Step 6: Upload the front side of your insurance card.</h3>
<h3>Step 7: Review your insurance card details or let them auto-populate.</h3>
<p>That&#39;s it! You&#39;ve successfully added your insurance card details.</p>
","clinicians-module/patient-management","clinicians-module","clinicians-module-patient-management","","clinicians-module/patient-management/adding-insurance-card-details-in-patient-profile.md"
"Assigning HEP to Patients","assigning-hep-to-patients","Guide for Assigning HEP to Patients","<p><video controls src=""/videos/assigning-hep-to-patients.mp4"" style=""width: 100%""></video></p>
","clinicians-module/patient-management","clinicians-module","clinicians-module-patient-management","","clinicians-module/patient-management/assigning-hep-to-patients.md"
"Generate POC","generate-poc","Guide for Generate POC","<p><video controls src=""/videos/generate-poc.mp4"" style=""width: 100%""></video></p>
<p>This guide provides a step-by-step process on how to generate a Plan of Care (POC) after completing the Subjective, Objective, Assessment, and Plan (SOAP) pages.</p>
<h3>Step 1: Complete the Subjective, Objective, Assessment, and Plan pages.</h3>
<h3>Step 2: Proceed to the Summary page and complete the SOAP.</h3>
<h3>Step 3: Scroll to the top of the page.</h3>
<p>Upon completion, the Plan of Care will be automatically created. </p>
<h3>Step 4: Download the POC or send it via eFax. The POC will be automatically attached.</h3>
","clinicians-module/patient-management","clinicians-module","clinicians-module-patient-management","","clinicians-module/patient-management/generate-poc.md"
"HEP - Wibbi Flow","hep-wibbi-flow","Guide for HEP - Wibbi Flow","<p><video controls src=""/videos/hep-wibbi-flow.mp4"" style=""width: 100%""></video></p>
<p>This guide provides a step-by-step process to create and assign a new Home Exercise Program (HEP) for a patient in the Spry system.Start by selecting the patient&#39;s appointment.</p>
<h3>Step 1: Click on the patient&#39;s appointment.</h3>
<p>Next, navigate to the planning tab.</p>
<h3>Step 2: Go to the planning tab.</h3>
<p>In the planning tab, scroll down to the HEP section to create a new program or assign a preselected one.</p>
<h3>Step 3: Scroll down to the HEP section.</h3>
<h3>Step 4: Click on create new program to redirect to VB.</h3>
<p>In VB, update the title of the program.</p>
<h3>Step 5: Update the title of the program.</h3>
<h3>Step 6: Click on the title shown above.</h3>
<p>Set the start and end dates for the program and add an exercise.</p>
<h3>Step 7: Enter the start date and end date for the program (optional).</h3>
<h3>Step 8: Click on add exercise.</h3>
<p>Select the appropriate cohort.</p>
<h3>Step 9: Select the cohort.</h3>
<p>Search for the exercise.</p>
<h3>Step 10: Click on search.</h3>
<h3>Step 11: Select the exercise.</h3>
<p>View the program and assign the rep and set count.</p>
<h3>Step 12: Click on view program.</h3>
<h3>Step 13: Assign the rep and set count.</h3>
<p>Save the program.</p>
<h3>Step 14: Click on save.</h3>
<p>Close the VB editor window and sync the HEP in Spry.</p>
<h3>Step 15: Close the VB editor window and click on sync HEP in Spry.</h3>
<p>The created program will be automatically assigned. View the PDF of the program or the assigned exercises.</p>
<h3>Step 16: Click on show PDF to view the program.</h3>
<h3>Step 17: Click on the I button to view the assigned exercises (optional).</h3>
<p>That concludes the guide.</p>
","clinicians-module/patient-management","clinicians-module","clinicians-module-patient-management","","clinicians-module/patient-management/hep-wibbi-flow.md"
"How To Create an Exercise Program_","how-to-create-an-exercise-program","Guide for How To Create an Exercise Program_","<p><video controls src=""/videos/how-to-create-an-exercise-program.mp4"" style=""width: 100%""></video></p>
","clinicians-module/patient-management","clinicians-module","clinicians-module-patient-management","","clinicians-module/patient-management/how-to-create-an-exercise-program.md"
"How to E-fax to a Physician","how-to-e-fax-to-a-physician","Guide for How to E-fax to a Physician","<p><video controls src=""/videos/how-to-e-fax-to-a-physician.mp4"" style=""width: 100%""></video></p>
<h3>Step 1: This video demonstrates how to e-fax a patient to a physician. Go to the patient dashboard.</h3>
<h3>Step 2: You can view here or search for the patient name.</h3>
<h3>Step 3: Once you get the name, View profile.</h3>
<h3>Step 4: You have reached the patient&#39;s timeline.</h3>
<h3>Step 5:   Now scroll down and go to the POC section</h3>
<h3>Step 6:  Click on eFax option.</h3>
<h3>Step 7: You can add the physician&#39;s number directly or select them from the dropdown if they&#39;re already in the system.</h3>
<h3>Step 8: Now add the subject and add comments.</h3>
<h3>Step 9:  As you can see, Plan of care adds up as an attachment.</h3>
<h3>Step 10:  Now click on send.</h3>
<hr>
<p><em>Thank you.</em></p>
","clinicians-module/patient-management","clinicians-module","clinicians-module-patient-management","","clinicians-module/patient-management/how-to-e-fax-to-a-physician.md"
"SPRY HEP Feature Updates","spry-hep-feature-updates","Guide for SPRY HEP Feature Updates","<p><video controls src=""/videos/spry-hep-feature-updates.mp4"" style=""width: 100%""></video></p>
<p>In this article, you&#39;ll learn how to use the updated features of the Spry HEP effectively.</p>
<h3>Step 1: Navigate to the HEP tab.</h3>
<h3>Step 2: Use the search bar to filter by specialties.</h3>
<h3>Step 3: Mark your favorite exercises.</h3>
<h3>Step 4: Create programs using your favorite exercises.</h3>
<h3>Step 5: Search for specific programs and exercises within your documentation.</h3>
<h3>Step 6: Select exercises for your program.</h3>
<h3>Step 7: Choose either all exercises</h3>
<p>or individual exercises.</p>
<h3>Step 8: Search for exercises by most recent use.</h3>
<h3>Step 9: Access your favorite exercises.</h3>
<h3>Step 10: Use custom exercises you&#39;ve added.</h3>
<h3>Step 11: Rearrange the order of the selected exercises.</h3>
<h3>Step 12: Include the rearranged exercises in the HEP.</h3>
<h3>Step 13: Apply the same steps for Clinic exercises within the HEP.</h3>
<h3>Step 14: Search by programs, most recent favorites, and custom exercises.</h3>
<h3>Step 15: Filter exercises by body parts and specialty.</h3>
<h3>Step 16: Rearrange and reorder the exercises as needed.</h3>
","clinicians-module/patient-management","clinicians-module","clinicians-module-patient-management","","clinicians-module/patient-management/spry-hep-feature-updates.md"
"Track Certified POC","track-certified-poc","Guide for Track Certified POC","<p><video controls src=""/videos/track-certified-poc.mp4"" style=""width: 100%""></video></p>
<h3>Step 1: Certified Plan of Care Tracking. Enter patient&#39;s chart, scroll POC tab,</h3>
<h3>Step 2:  Upload signed plan of care, drag and drop or browse.</h3>
<h3>Step 4:  Add notes if required.</h3>
<h3>Step 5:  Tick the Certify POC box.</h3>
<h3>Step 6:</h3>
<h3>Step 7:  Status changed to certified.</h3>
<h3>Step 8: Status changed to certified based on plan of care created.</h3>
<h3>Step 9:</h3>
","clinicians-module/patient-management","clinicians-module","clinicians-module-patient-management","","clinicians-module/patient-management/track-certified-poc.md"
"Appointment Booking: Commercial Insurance Pay with Referral Physician Options","appointment-booking-commercial-insurance-pay-with-referral-physician-options","Guide for Appointment Booking: Commercial Insurance Pay with Referral Physician Options","<p><video controls src=""/videos/appointment-booking-commercial-insurance-pay-with-referral-physician-options.mp4"" style=""width: 100%""></video></p>
","front-desk-module/appointment-booking","front-desk-module","front-desk-module-appointment-booking","","front-desk-module/appointment-booking/appointment-booking-commercial-insurance-pay-with-referral-physician-options.md"
"Book an Appointment with Self-Pay","book-an-appointment-with-self-pay","Guide for Book an Appointment with Self-Pay","<p><video controls src=""/videos/book-an-appointment-with-self-pay.mp4"" style=""width: 100%""></video></p>
<h3>Step 1: Hi. How to book an appointment with self pay? Under the respected therapist&#39;s name, go to the time slot you want to book the appointment.</h3>
<h3>Step 2: Left click on it.</h3>
<h3>Step 3:</h3>
<h3>Step 4: Fill the mandatory details.</h3>
<h3>Step 5:</h3>
<h3>Step 6:</h3>
<h3>Step 7: You can see the timings are auto set after the appointment type. Now under payment type, click on self pay.</h3>
<h3>Step 8:</h3>
<h3>Step 9:</h3>
<h3>Step 10:</h3>
<h3>Step 11: Send link and reserve the appointment.</h3>
<p>You can see your appointment on the dashboard. Thank you.</p>
","front-desk-module/appointment-booking","front-desk-module","front-desk-module-appointment-booking","","front-desk-module/appointment-booking/book-an-appointment-with-self-pay.md"
"Booking Appointments for Workers' Comp and Auto Insurance Claims","booking-appointments-for-workers-comp-and-auto-insurance-claims","Guide for Booking Appointments for Workers' Comp and Auto Insurance Claims","<p><video controls src=""/videos/booking-appointments-for-workers-comp-and-auto-insurance-claims.mp4"" style=""width: 100%""></video></p>
","front-desk-module/appointment-booking","front-desk-module","front-desk-module-appointment-booking","","front-desk-module/appointment-booking/booking-appointments-for-workers-comp-and-auto-insurance-claims.md"
"Booking Recurring Appointments","booking-recurring-appointments","Guide for Booking Recurring Appointments","<p><video controls src=""/videos/booking-recurring-appointments.mp4"" style=""width: 100%""></video></p>
<h3>Step 1: Hi. How to book a recurring appointment for a patient? Left click.</h3>
<h3>Step 2:</h3>
<h3>Step 3: Search for the patient.</h3>
<h3>Step 4: Verify all the details, enter the necessary information.</h3>
<h3>Step 5:</h3>
<h3>Step 6:</h3>
<h3>Step 7: Click on next.</h3>
<h3>Step 8: Select yes to book for recurrent appointment.</h3>
<h3>Step 9:</h3>
<h3>Step 10: Select the frequency.</h3>
<h3>Step 11: Select the end date, select the days on which you want the appointment to recur.</h3>
<h3>Step 12:</h3>
<h3>Step 13:</h3>
<h3>Step 14:</h3>
<h3>Step 15:</h3>
<h3>Step 16: Click on send link and reserve appointment.</h3>
<h3>Step 17:</h3>
<h3>Step 18: Your appointment will be booked successfully.</h3>
<h3>Step 19: Click on the appointment dialogue box.</h3>
<h3>Step 20: You&#39;ll be able to view your future appointments.</h3>
<h3>Step 21:</h3>
","front-desk-module/appointment-booking","front-desk-module","front-desk-module-appointment-booking","","front-desk-module/appointment-booking/booking-recurring-appointments.md"
"How to Book an Appointment for New and Existing Patients","how-to-book-an-appointment-for-new-and-existing-patients","Guide for How to Book an Appointment for New and Existing Patients","<p><video controls src=""/videos/how-to-book-an-appointment-for-new-and-existing-patients.mp4"" style=""width: 100%""></video></p>
","front-desk-module/appointment-booking","front-desk-module","front-desk-module-appointment-booking","","front-desk-module/appointment-booking/how-to-book-an-appointment-for-new-and-existing-patients.md"
"Printing Appointment Copies","printing-appointment-copies","Guide for Printing Appointment Copies","<p><video controls src=""/videos/printing-appointment-copies.mp4"" style=""width: 100%""></video></p>
<p>In this article, you&#39;ll learn how to print a paper copy of your appointments. </p>
<h3>Step 1: Start by clicking on the three dots on your appointment card.</h3>
<h3>Step 2: Next, select Print and Download.</h3>
<h3>Step 3: Choose whether you want to print all appointments or only future appointments.</h3>
<h3>Step 4: Decide on the items you want to be printed.</h3>
<h3>Step 5: Now, select Print or Download.</h3>
<h3>Step 6: Note that the columns are editable.</h3>
<h3>Step 7: Finally, click on Print to get your paper copy.</h3>
","front-desk-module/appointment-booking","front-desk-module","front-desk-module-appointment-booking","","front-desk-module/appointment-booking/printing-appointment-copies.md"
"Adding Recurring Blocks to Calendar","adding-recurring-blocks-to-calendar","Guide for Adding Recurring Blocks to Calendar","<p><video controls src=""/videos/adding-recurring-blocks-to-calendar.mp4"" style=""width: 100%""></video></p>
<h3>Step 1: Hi. This video demonstrates how to add a recurring block to your calendar. Go to the therapist column and in the required time slot, right click and add a block.</h3>
<h3>Step 2:</h3>
<h3>Step 3: The name of the doctor, date and the time gets auto populated.</h3>
<h3>Step 4: Now you can even go and add the end date.</h3>
<h3>Step 5:</h3>
<h3>Step 6:</h3>
<h3>Step 7: You can add the comments if required.</h3>
<h3>Step 8: Now once you come to the reasons, select from the drop down.</h3>
<h3>Step 9: I am adding staff meetings.</h3>
<h3>Step 10: Now click on the recurrence and select the frequency.</h3>
<h3>Step 11:</h3>
<h3>Step 12:</h3>
<h3>Step 13: Add the end time and save.</h3>
<h3>Step 14:</h3>
<h3>Step 15:</h3>
<h3>Step 16: This gets seen on the dashboard. You can even check it for the week.</h3>
<h3>Step 17: You will see it here.</h3>
<h3>Step 18:</h3>
<h3>Step 19:</h3>
<h3>Step 20:</h3>
<h3>Step 21: Now if you want to edit the block, you can by making necessary changes and choose to update in all blocks or this block.</h3>
<h3>Step 22:</h3>
<h3>Step 23:</h3>
<h3>Step 24:</h3>
<h3>Step 25:</h3>
<h3>Step 26: I am going ahead with all blocks and update.</h3>
<h3>Step 27: Now you can even copy the block and paste it in other therapist schedule or in your own schedule.</h3>
<h3>Step 28:</h3>
<h3>Step 29: I am going to paste it here.</h3>
<h3>Step 30:</h3>
<h3>Step 31: You can see the name of the doctor, the date, and time gets auto populated, check and save.</h3>
<h3>Step 32: If you want to delete the block, you can go ahead and even delete it.</h3>
<h3>Step 33:</h3>
<h3>Step 34: A prompt appears to delete the current block or all the blocks. I&#39;m going to delete the current block.</h3>
<hr>
<p><em>Thank you.</em></p>
","front-desk-module/calendar-block-features","front-desk-module","front-desk-module-calendar-block-features","","front-desk-module/calendar-block-features/adding-recurring-blocks-to-calendar.md"
"How to Add a Block in a Calendar.","how-to-add-a-block-in-a-calendar","Guide for How to Add a Block in a Calendar.","<p><video controls src=""/videos/how-to-add-a-block-in-a-calendar.mp4"" style=""width: 100%""></video></p>
<h3>Step 1: Hi. This video demonstrates how to add a block. Under the therapist&#39;s name in the required timeline, right click, add a block.</h3>
<h3>Step 2:</h3>
<h3>Step 3: You can see the name of the doctor, the date, and time are auto populated.</h3>
<h3>Step 4: Now you can decide till when do you want it, add necessary comments if required.</h3>
<h3>Step 5:</h3>
<h3>Step 6: You can select from the options.</h3>
<h3>Step 7: I&#39;m opting as out of office.</h3>
<h3>Step 8: You can select the end time.</h3>
<h3>Step 9:</h3>
<h3>Step 10:</h3>
<h3>Step 11:</h3>
<h3>Step 12: Check the AM and PM, and then save.</h3>
<h3>Step 13:</h3>
<h3>Step 14: You can see it on the dashboard. Now if you want to edit it, go to edit block.</h3>
<h3>Step 15:</h3>
<h3>Step 16: Make the necessary changes and update.</h3>
<h3>Step 17:</h3>
<h3>Step 18:</h3>
<h3>Step 19: Now you can even copy the block and either paste it in the other therapist coloumn or you can even paste it here in your timeline.</h3>
<h3>Step 20:</h3>
<h3>Step 21:</h3>
<h3>Step 22:</h3>
<h3>Step 23: Paste. Check the time and save.</h3>
<h3>Step 24: Similarly, You can delete block using these options.</h3>
<h3>Step 25:</h3>
<h3>Step 26:</h3>
<hr>
<p><em>Thank you.</em></p>
","front-desk-module/calendar-block-features","front-desk-module","front-desk-module-calendar-block-features","","front-desk-module/calendar-block-features/how-to-add-a-block-in-a-calendar.md"
"Canceling Future Appointments During Case Discharge","canceling-future-appointments-during-case-discharge","Guide for Canceling Future Appointments During Case Discharge","<p><video controls src=""/videos/canceling-future-appointments-during-case-discharge.mp4"" style=""width: 100%""></video></p>
<p>In this article, you&#39;ll learn how to cancel future appointments when discharging a case in the Patient timeline.</p>
<h3>Step 1: Navigate to the Patient timeline.</h3>
<h3>Step 2: If you&#39;ve created a discharge note for the patient, you&#39;ll have the ability to cancel future appointments from this section.</h3>
<h3>Step 3: Begin by completing the SOAP. Once you&#39;ve done this, you&#39;ll see the option to cancel appointments.</h3>
<h3>Step 4: Click on Cancel Appointments.</h3>
<h3>Step 5: Choose the appropriate reason for the cancellation.</h3>
<h3>Step 6: Finally, save your changes.</h3>
<p>Your appointment cancellation is now successful. Thank you for following this guide.</p>
","front-desk-module/cancel-appointments","front-desk-module","front-desk-module-cancel-appointments","","front-desk-module/cancel-appointments/canceling-future-appointments-during-case-discharge.md"
"How to Cancel Future Appointments","how-to-cancel-future-appointments","Guide for How to Cancel Future Appointments","<p><video controls src=""/videos/how-to-cancel-future-appointments.mp4"" style=""width: 100%""></video></p>
<p>This article will guide you through the process of cancelling future appointments.</p>
<h3>Step 1: Begin by clicking on the three dots. This will reveal the Cancel appointment button.</h3>
<h3>Step 2: Alternatively, you can click directly on the appointment. This will also bring up the Cancel appointment option.</h3>
<h3>Step 3: Click on Cancel appointment. A purple dialog box will appear.</h3>
<h3>Step 4: Select the reason for cancellation.</h3>
<h3>Step 5: Look for the option Cancel the future appointments.</h3>
<h3>Step 6: Click on Cancel the future appointments.</h3>
<h3>Step 7: Select the appointments you wish to cancel.</h3>
<h3>Step 8: Confirm your cancellation and then save your changes.</h3>
<p>Congratulations! You&#39;ve successfully cancelled your future appointments.</p>
","front-desk-module/cancel-appointments","front-desk-module","front-desk-module-cancel-appointments","","front-desk-module/cancel-appointments/how-to-cancel-future-appointments.md"
"How to Cancel Recurring Appointments","how-to-cancel-recurring-appointments","Guide for How to Cancel Recurring Appointments","<p><video controls src=""/videos/how-to-cancel-recurring-appointments.mp4"" style=""width: 100%""></video></p>
<p>In this article, you&#39;ll learn how to cancel recurring appointments in two different ways.</p>
<h3>Step 1: Start by clicking on the dots shown in the image below.</h3>
<h3>Step 2: Find and click on the Cancel appointment option.</h3>
<p>Alternatively, you can click directly on the appointment to cancel it.</p>
<h3>Step 3: After clicking on the appointment,</h3>
<h3>Step 4: Choose the reason for cancellation.</h3>
<h3>Step 5: Now, you&#39;ll see the Cancel recurring appointments option.</h3>
<h3>Step 6: Click on it.</h3>
<h3>Step 7: Next, select Appointments.</h3>
<h3>Step 8: You&#39;ll have the option to select all appointments or select a particular one.</h3>
<h3>Step 9: Choose Recurring appointments.</h3>
<h3>Step 10: After making your selection, click on the Save</h3>
","front-desk-module/cancel-appointments","front-desk-module","front-desk-module-cancel-appointments","","front-desk-module/cancel-appointments/how-to-cancel-recurring-appointments.md"
